from,to,relation
alex_feuerherdt,audiatur_online,1
alex_feuerherdt,dig_muenchen,1
alex_feuerherdt,gmx,3
alex_feuerherdt,konkret,2
alex_feuerherdt,ntv,3
alex_feuerherdt,ntv,3
alex_feuerherdt,ntv,3
alex_feuerherdt,ntv,3
alex_feuerherdt,web,3
alexander_wendt,achgut,3
alexander_wendt,achgut,3
alexander_wendt,achgut,3
alexander_wendt,achgut,3
alexander_wendt,ef_magazin,3
alexander_wendt,ef_magazin,3
alexander_wendt,focus,3
alexander_wendt,focus,3
alexander_wendt,freiewelt,1
alexander_wendt,politikversagen,2
alexander_wendt,politikversagen,2
alexander_wendt,publicomag,3
alexander_wendt,publicomag,3
alexander_wendt,publicomag,3
alexander_wendt,publicomag,3
alexander_wendt,publicomag,3
alexander_wendt,publicomag,3
alexander_wendt,publicomag,3
alexander_wendt,publicomag,3
alexander_wendt,publicomag,3
alexander_wendt,publicomag,3
alexander_wendt,publicomag,3
alexander_wendt,publicomag,3
alexander_wendt,publicomag,3
alexander_wendt,publicomag,3
alexander_wendt,publicomag,3
alexander_wendt,publicomag,3
alexander_wendt,publicomag,3
alexander_wendt,theeuropean,3
alexander_wendt,theeuropean,3
ansgar_neuhof,achgut,3
ansgar_neuhof,achgut,3
ansgar_neuhof,achgut,3
ansgar_neuhof,dushan_wegner,1
ansgar_neuhof,frankfurter_erklaerung,1
ansgar_neuhof,ingexx,1
ansgar_neuhof,nixgut_wordpress,1
ansgar_neuhof,quotenqueen_wordpress,2
ansgar_neuhof,tichys_einblick,3
antje_sievers,achgut,3
archi_w_bechlenberg,achgut,3
archi_w_bechlenberg,achgut,3
archi_w_bechlenberg,achgut,3
archi_w_bechlenberg,achgut,3
archi_w_bechlenberg,leserbriefe,2
archi_w_bechlenberg,leserbriefe,2
archi_w_bechlenberg,politikxx,1
benny_peiser,climatechangedispatch,3
benny_peiser,principia_scientific,3
benny_peiser,thegwpf,3
benny_peiser,wallstreetjournal,3
bernhard_lassahn,achgut,3
bernhard_lassahn,achgut,2
bernhard_lassahn,faktum_magazin,3
bernhard_lassahn,faktum_magazin,2
bernhard_lassahn,news_feed_reader,2
burkhard_mueller_ullrich,achgut,3
burkhard_mueller_ullrich,achgut,3
burkhard_mueller_ullrich,ardmediathek,2
burkhard_mueller_ullrich,deutschlandfunk,3
burkhard_mueller_ullrich,deutschlandfunkkultur,3
christian_ortner,boerse_social,1
christian_ortner,boerse_social,1
christian_ortner,die_presse,3
christian_ortner,die_presse,3
christian_ortner,die_presse,3
christian_ortner,die_presse,3
christian_ortner,direktbroker,2
christian_ortner,gehoertgebloggt,1
christian_ortner,germanmediawatchblog_wordpress,2
christian_ortner,heute_news,2
christian_ortner,info_direkt,1
christian_ortner,leserbriefe,2
christian_ortner,leserbriefe,2
christian_ortner,leserbriefe,2
christian_ortner,leserbriefe,2
christian_ortner,nachrichten_aktuell,2
christian_ortner,news_furt,1
christian_ortner,newstral,1
christian_ortner,newstral,1
christian_ortner,newstral,1
christian_ortner,newstral,1
christian_ortner,oesterreich_press,2
christian_ortner,onlineticker,2
christian_ortner,onlineticker,2
christian_ortner,ortneronline,2
christian_ortner,ortneronline,2
christian_ortner,ortneronline,3
christian_ortner,ortneronline,2
christian_ortner,ortneronline,2
christian_ortner,ortneronline,1
christian_ortner,ortneronline,2
christian_ortner,ortneronline,2
christian_ortner,ortneronline,3
christian_ortner,ortneronline,2
christian_ortner,ortneronline,2
christian_ortner,pressreader,3
christian_ortner,pressreader,3
christian_ortner,pressreader,3
christian_ortner,pressreader,3
christian_ortner,qoshe,2
christian_ortner,qoshe,2
christian_ortner,qoshe,2
christian_ortner,qoshe,2
christian_ortner,qoshe,2
christian_ortner,stefanmatun_wordpress,1
christian_ortner,wienerzeitung,3
christian_ortner,wienerzeitung,3
christian_ortner,wienerzeitung,3
christian_ortner,wienerzeitung,3
christian_ortner,wienerzeitung,3
claudio_casula,achgut,3
claudio_casula,dasgelbeforum,1
claudio_casula,mena_watch,1
cora_stephan,achgut,3
cora_stephan,achgut,3
cora_stephan,adpunktum,2
cora_stephan,cora_stephan_blogspot,3
cora_stephan,cora_stephan_blogspot,3
cora_stephan,faktum_magazin,2
cora_stephan,genderama,2
cora_stephan,publicomag,3
dirk_maxeiner,achgut,3
dirk_maxeiner,achgut,3
dirk_maxeiner,achgut,3
dirk_maxeiner,achgut,3
dirk_maxeiner,achgut,3
dirk_maxeiner,achgut,3
dirk_maxeiner,crimekalender_wordpress,1
dirk_maxeiner,crimekalender_wordpress,1
dirk_maxeiner,crimekalender_wordpress,1
dirk_maxeiner,crimekalender_wordpress,1
dirk_maxeiner,crimekalender_wordpress,1
dirk_maxeiner,crimekalender_wordpress,1
dirk_maxeiner,faktum_magazin,2
dirk_maxeiner,faktum_magazin,2
dirk_maxeiner,faktum_magazin,2
dirk_maxeiner,faktum_magazin,2
dirk_maxeiner,faktum_magazin,2
dirk_maxeiner,fatalistblog,2
dirk_maxeiner,fatalistnsuleaks_wordpress,2
dirk_maxeiner,haolam_de,1
dirk_maxeiner,haolam_info,2
dirk_maxeiner,haolam_info,2
dirk_maxeiner,haolam_info,1
dirk_maxeiner,heplev_wordpress,2
dirk_maxeiner,isportant,2
dirk_maxeiner,kaltesonne,1
dirk_maxeiner,kaltesonne,1
dirk_maxeiner,leserbriefe,2
dirk_maxeiner,luegenpressex_wordpress,1
dirk_maxeiner,mywakenews_wordpress,1
dirk_maxeiner,ortneronline,2
dirk_maxeiner,politikxx,1
dirk_maxeiner,pravda_tv,1
dirk_maxeiner,quotenqueen_wordpress,2
gerd_held,gerdheld,3
gerd_held,gerdheld,3
gerd_held,gerdheld,3
gerd_held,tichys_einblick,3
gerd_held,tichys_einblick,3
guenter_ederer,achgut,3
guenter_ederer,achgut,3
guenter_ederer,achgut,3
guenter_ederer,achgut,3
guenter_ederer,afd_archiv_bodenseekreis,1
guenter_ederer,afd_archiv_bodenseekreis,1
guenter_ederer,afd_archiv_bodenseekreis,1
guenter_ederer,bachheimer,2
guenter_ederer,cncsac,2
guenter_ederer,eva_herman,2
guenter_ederer,faktum_magazin,2
guenter_ederer,faktum_magazin,1
guenter_ederer,faktum_magazin,1
guenter_ederer,faktum_magazin,2
guenter_ederer,gegstro_wordpress,2
guenter_ederer,gegstro_wordpress,2
guenter_ederer,gelsenkirchener_geschichten,1
guenter_ederer,guenter_ederer_de,3
guenter_ederer,guenter_ederer_de,1
guenter_ederer,guenter_ederer_de,3
guenter_ederer,guenter_ederer_de,3
guenter_ederer,ingexx,1
guenter_ederer,kopp_report,1
guenter_ederer,newstral,1
guenter_ederer,peketec,2
guenter_ederer,politikxx,2
guenter_ederer,politikxx,2
guenter_ederer,politikxx,2
guenter_ederer,voat,1
guenter_ederer,voat,1
guenter_ederer,wize,2
guenter_ederer,wollesgeraffel_wordpress,1
guenter_ederer,wollesgeraffel_wordpress,1
gunnar_heinsohn,adpunktum,2
gunnar_heinsohn,afd_archiv_bodenseekreis,1
gunnar_heinsohn,anygator,2
gunnar_heinsohn,finanz_nachrichten,2
gunnar_heinsohn,firmenweb,2
gunnar_heinsohn,juergen_fritz,1
gunnar_heinsohn,neue_zuericher_zeitung,2
gunnar_heinsohn,news_feed_reader,2
gunnar_heinsohn,tichys_einblick,3
gunnar_heinsohn,topnewsinfo,1
gunnar_heinsohn,wallstreet_online,2
gunter_weissgerber,achgut,3
gunter_weissgerber,achgut,3
gunter_weissgerber,theeuropean,3
hansjoerg_mueller,bazonline,2
hansjoerg_mueller,bazonline,3
hansjoerg_mueller,bazonline,3
hansjoerg_mueller,bazonline,3
hansjoerg_mueller,bazonline,3
hansjoerg_mueller,bazonline,3
hansjoerg_mueller,bazonline,3
hansjoerg_mueller,bazonline,3
hansjoerg_mueller,bazonline,3
hansjoerg_mueller,bazonline,3
hansjoerg_mueller,bazonline,3
hansjoerg_mueller,bazonline,3
hansjoerg_mueller,bazonline,3
hansjoerg_mueller,bazonline,3
hansjoerg_mueller,bazonline,3
hansjoerg_mueller,bazonline,3
hansjoerg_mueller,bazonline,3
hansjoerg_mueller,bazonline,2
hansjoerg_mueller,bazonline,2
hansjoerg_mueller,bazonline,2
hansjoerg_mueller,bazonline,2
hansjoerg_mueller,bazonline,2
hansjoerg_mueller,bazonline,2
hansjoerg_mueller,bazonline,2
hansjoerg_mueller,gruene_unabhaengige,3
hansjoerg_mueller,mena_watch,1
hansjoerg_mueller,publicomag,3
hansjoerg_mueller,verlag_baz,3
henryk_m_broder,achgut,3
henryk_m_broder,achgut,3
henryk_m_broder,achgut,3
henryk_m_broder,achgut,3
henryk_m_broder,achgut,3
henryk_m_broder,achgut,3
henryk_m_broder,achgut,3
henryk_m_broder,achgut,3
henryk_m_broder,achgut,3
henryk_m_broder,atlantis_sail,2
henryk_m_broder,boerse_social,1
henryk_m_broder,crtt,1
henryk_m_broder,faktum_magazin,2
henryk_m_broder,faktum_magazin,2
henryk_m_broder,faktum_magazin,2
henryk_m_broder,faktum_magazin,2
henryk_m_broder,faktum_magazin,2
henryk_m_broder,faktum_magazin,2
henryk_m_broder,faktum_magazin,2
henryk_m_broder,faktum_magazin,2
henryk_m_broder,forum_publikumskonferenz,2
henryk_m_broder,freepress_media,1
henryk_m_broder,freepress_media,1
henryk_m_broder,gegstro_wordpress,2
henryk_m_broder,gegstro_wordpress,2
henryk_m_broder,grueselhorn,3
henryk_m_broder,haolam_info,2
henryk_m_broder,haolam_info,2
henryk_m_broder,ingexx,2
henryk_m_broder,ingexx,2
henryk_m_broder,kopp_report,1
henryk_m_broder,leserbriefe,2
henryk_m_broder,leserbriefe,2
henryk_m_broder,leserbriefe,2
henryk_m_broder,leserbriefe,2
henryk_m_broder,news_feed_reader,2
henryk_m_broder,news_feed_reader,2
henryk_m_broder,news_feed_reader,2
henryk_m_broder,news_feed_reader,2
henryk_m_broder,news_feed_reader,2
henryk_m_broder,news_feed_reader,2
henryk_m_broder,news_feed_reader,2
henryk_m_broder,newstral,1
henryk_m_broder,newstral,1
henryk_m_broder,newstral,1
henryk_m_broder,nsu_leaks_freeforums,1
henryk_m_broder,onlineticker,2
henryk_m_broder,onlineticker,2
henryk_m_broder,ortneronline,2
henryk_m_broder,politikxx,2
henryk_m_broder,politikxx,2
henryk_m_broder,politikxx,2
henryk_m_broder,politikxx,2
henryk_m_broder,politikxx,2
henryk_m_broder,politikxx,2
henryk_m_broder,politikxx,2
henryk_m_broder,watchtelevision_blogspot,2
henryk_m_broder,websitemarketingxxdotcom_wordpress,1
henryk_m_broder,welt,3
henryk_m_broder,welt,3
henryk_m_broder,welt,3
henryk_m_broder,welt,3
henryk_m_broder,welt,3
henryk_m_broder,welt,3
henryk_m_broder,welt,3
henryk_m_broder,welt,3
henryk_m_broder,welt,3
henryk_m_broder,welt,3
henryk_m_broder,welt,3
henryk_m_broder,welt,3
henryk_m_broder,welt,3
henryk_m_broder,welt,3
henryk_m_broder,weltwoche,3
henryk_m_broder,weltwoche,3
henryk_m_broder,weltwoche,3
joachim_nikolaus_steinhoefel,achgut,3
joachim_nikolaus_steinhoefel,achgut,3
joachim_nikolaus_steinhoefel,achgut,3
joachim_nikolaus_steinhoefel,conservo_wordpress,3
joachim_nikolaus_steinhoefel,kopp_report,3
joachim_nikolaus_steinhoefel,mmnews,3
joachim_nikolaus_steinhoefel,steinhoefel,3
joachim_nikolaus_steinhoefel,steinhoefel,3
joachim_nikolaus_steinhoefel,theeuropean,3
joachim_nikolaus_steinhoefel,tichys_einblick,3
joachim_nikolaus_steinhoefel,weltwoche,2
karim_dabbouz,achgut,3
karim_dabbouz,germanmediawatchblog_wordpress,2
karim_dabbouz,karim_ooo,3
karim_dabbouz,karim_ooo,3
karim_dabbouz,leserbriefe,2
karim_dabbouz,xing,2
katharina_szabo,achgut,3
katharina_szabo,nixgut_wordpress,3
katharina_szabo,xing,2
manfred_haferburg,achgut,3
manfred_haferburg,achgut,3
manfred_haferburg,achgut,3
manfred_haferburg,achgut,3
manfred_haferburg,achgut,3
manfred_haferburg,achgut,3
manfred_haferburg,achgut,3
manfred_haferburg,achgut,3
manfred_haferburg,ddrwebquest,1
manfred_haferburg,eike_klima_energie,2
manfred_haferburg,eike_klima_energie,3
manfred_haferburg,faktum_magazin,2
manfred_haferburg,faktum_magazin,2
manfred_haferburg,haolam_info,2
manfred_haferburg,isis_trendolizer,1
manfred_haferburg,nixgut_wordpress,1
manfred_haferburg,nixgut_wordpress,1
manfred_haferburg,politikxx,2
markus_vahlefeld,achgut,3
markus_vahlefeld,achgut,3
markus_vahlefeld,achgut,3
markus_vahlefeld,achgut,3
markus_vahlefeld,juedischerundschau,3
markus_vahlefeld,nixgut_wordpress,1
markus_vahlefeld,quotenqueen_wordpress,2
paul_nellen,achgut,3
paul_nellen,faktum_magazin,2
paul_nellen,politikxx,2
peter_grimm,achgut,3
peter_grimm,achgut,3
peter_grimm,achgut,3
peter_grimm,achgut,3
peter_grimm,achgut,3
peter_grimm,achgut,3
peter_grimm,achgut,3
peter_grimm,achgut,3
peter_grimm,achgut,3
peter_grimm,achgut,3
peter_grimm,achgut,3
peter_grimm,achgut,3
peter_grimm,achgut,3
peter_grimm,achgut,3
peter_grimm,achgut,3
peter_grimm,achgut,3
peter_grimm,achgut,3
peter_grimm,achgut,3
peter_grimm,afd_archiv_bodenseekreis,1
peter_grimm,archive,1
peter_grimm,bachheimer,2
peter_grimm,crtt,1
peter_grimm,ddrzweipunktnull,1
peter_grimm,deepread,2
peter_grimm,eva_herman,2
peter_grimm,faktum_magazin,2
peter_grimm,faktum_magazin,2
peter_grimm,faktum_magazin,2
peter_grimm,faktum_magazin,2
peter_grimm,faktum_magazin,2
peter_grimm,faktum_magazin,2
peter_grimm,faktum_magazin,2
peter_grimm,faktum_magazin,2
peter_grimm,faktum_magazin,2
peter_grimm,faktum_magazin,2
peter_grimm,faktum_magazin,2
peter_grimm,faktum_magazin,2
peter_grimm,faktum_magazin,2
peter_grimm,freepress_media,1
peter_grimm,freepress_media,1
peter_grimm,freepress_media,1
peter_grimm,freepress_media,1
peter_grimm,freepress_media,1
peter_grimm,freepress_media,1
peter_grimm,gegstro_wordpress,2
peter_grimm,haolam_info,2
peter_grimm,haolam_info,2
peter_grimm,haolam_info,2
peter_grimm,haolam_info,2
peter_grimm,ingexx,1
peter_grimm,journalistenwatch,1
peter_grimm,juedischerundschau,3
peter_grimm,kopp_report,1
peter_grimm,kopp_report,1
peter_grimm,kopp_report,1
peter_grimm,kopp_report,1
peter_grimm,kopp_report,1
peter_grimm,kopp_report,1
peter_grimm,kopp_report,1
peter_grimm,leserbriefe,2
peter_grimm,leserbriefe,2
peter_grimm,leserbriefe,2
peter_grimm,leserbriefe,2
peter_grimm,leserbriefe,1
peter_grimm,leserbriefe,2
peter_grimm,leserbriefe,2
peter_grimm,leserbriefe,2
peter_grimm,leserbriefe,2
peter_grimm,mercedes_forum,1
peter_grimm,n_topnewsinfo,1
peter_grimm,n_topnewsinfo,1
peter_grimm,news_feed_reader,2
peter_grimm,news_feed_reader,2
peter_grimm,news_feed_reader,2
peter_grimm,news_feed_reader,2
peter_grimm,news_feed_reader,2
peter_grimm,news_feed_reader,2
peter_grimm,news_feed_reader,2
peter_grimm,news_feed_reader,2
peter_grimm,news_feed_reader,2
peter_grimm,news_feed_reader,2
peter_grimm,newstral,1
peter_grimm,newstral,1
peter_grimm,newstral,1
peter_grimm,newstral,1
peter_grimm,newstral,1
peter_grimm,newstral,1
peter_grimm,newstral,1
peter_grimm,newstral,1
peter_grimm,newstral,1
peter_grimm,offene_meinung_aus_sachsen_anhalt,1
peter_grimm,philosophia_perennis_at,1
peter_grimm,pl_isportant,2
peter_grimm,politikversagen,2
peter_grimm,politikxx,2
peter_grimm,politikxx,2
peter_grimm,politikxx,2
peter_grimm,politikxx,2
peter_grimm,politikxx,2
peter_grimm,politikxx,2
peter_grimm,politikxx,2
peter_grimm,politikxx,2
peter_grimm,politikxx,2
peter_grimm,politikxx,2
peter_grimm,quotenqueen_wordpress,2
peter_grimm,quotenqueen_wordpress,2
peter_grimm,quotenqueen_wordpress,2
peter_grimm,sichtplatz,3
peter_grimm,sichtplatz,3
peter_grimm,sichtplatz,3
peter_grimm,sichtplatz,3
peter_grimm,sichtplatz,3
peter_grimm,sichtplatz,3
peter_grimm,sichtplatz,3
peter_grimm,sichtplatz,3
peter_grimm,sichtplatz,3
peter_grimm,sichtplatz,3
peter_grimm,sichtplatz,3
peter_grimm,sichtplatz,3
peter_grimm,sichtplatz,3
peter_grimm,sichtplatz,3
peter_grimm,sichtplatz,3
peter_grimm,sichtplatz,3
peter_grimm,steemit,1
peter_grimm,tatjanafesterling,2
peter_grimm,voat,1
peter_grimm,wahrheit_tv,1
peter_grimm,websitemarketingxxdotcom_wordpress,1
peter_grimm,zahlwort_blogger,1
rainer_bonhorst,achgut,3
rainer_bonhorst,achgut,3
rainer_bonhorst,achgut,3
rainer_bonhorst,achgut,3
rainer_bonhorst,achgut,3
rainer_bonhorst,eva_herman,2
rainer_bonhorst,faktum_magazin,2
rainer_bonhorst,faktum_magazin,2
rainer_bonhorst,haolam_de,2
rainer_bonhorst,haolam_de,2
rainer_bonhorst,haolam_de,1
rainer_bonhorst,newstral,1
rainer_bonhorst,politikxx,2
rainer_bonhorst,politikxx,2
rainer_bonhorst,politikxx,2
rainer_bonhorst,politikxx,2
rainer_bonhorst,quotenqueen_wordpress,2
rainer_grell,achgut,3
rainer_grell,achgut,3
ralf_schuler,bild,3
ralf_schuler,bild,3
ralf_schuler,bild,3
ralf_schuler,bild,3
ralf_schuler,bild,3
ralf_schuler,bild,3
ralf_schuler,bild,3
ralf_schuler,bild,3
ralf_schuler,bz_berlin,3
ralf_schuler,neue_zuericher_zeitung,3
roger_letsch,achgut,3
roger_letsch,achgut,3
roger_letsch,achgut,3
roger_letsch,achgut,3
roger_letsch,achgut,3
roger_letsch,achgut,3
roger_letsch,achgut,3
roger_letsch,haolam_info,2
roger_letsch,haolam_info,2
roger_letsch,leserbriefe,2
roger_letsch,nixgut_wordpress,3
roger_letsch,unbesorgt,3
roger_letsch,unbesorgt,3
roger_letsch,unbesorgt,3
roger_letsch,unbesorgt,3
roger_letsch,unbesorgt,3
roger_letsch,unbesorgt,3
roger_letsch,unbesorgt,3
roger_letsch,vernunftkraft_hessen,2
stefan_frank,achgut,3
stefan_frank,achgut,3
stefan_frank,faktum_magazin,2
stefan_frank,faktum_magazin,2
stefan_frank,haolam_de,2
stefan_frank,haolam_info,2
stefan_frank,journalistenwatch,1
stefan_frank,juedischerundschau,3
stefan_frank,mena_watch,3
stefan_frank,politikxx,2
stefan_frank,xing,2
thilo_sarrazin,achgut,3
thilo_sarrazin,eva_herman,2
thilo_sarrazin,faktum_magazin,2
thilo_sarrazin,kopp_report,1
thilo_sarrazin,lwfreiheit_wordpress,1
thilo_sarrazin,quotenqueen_wordpress,2
thilo_sarrazin,weltwoche,2
thilo_schneider,achgut,3
thilo_schneider,achgut,3
thilo_schneider,achgut,3
thilo_schneider,achgut,3
thilo_schneider,achgut,3
thilo_schneider,achgut,3
thilo_schneider,achgut,3
thilo_schneider,faktum_magazin,2
thilo_schneider,faktum_magazin,2
thilo_schneider,faktum_magazin,2
thilo_schneider,faktum_magazin,2
thilo_schneider,faktum_magazin,2
thilo_schneider,faktum_magazin,2
thilo_schneider,haolam_info,2
thilo_schneider,inkultura,2
thilo_schneider,news_feed_reader,1
thilo_schneider,newstral,1
thilo_schneider,politikversagen,2
thilo_schneider,politikxx,2
thilo_schneider,politikxx,2
thilo_schneider,politikxx,2
thilo_schneider,politikxx,2
thilo_schneider,quotenqueen_wordpress,2
thilo_schneider,quotenqueen_wordpress,2
thilo_schneider,quotenqueen_wordpress,2
thilo_schneider,quotenqueen_wordpress,2
thilo_schneider,wize,1
thomas_rietzschel,achgut,3
thomas_rietzschel,achgut,3
thomas_rietzschel,achgut,3
thomas_rietzschel,achgut,3
thomas_rietzschel,achgut,3
thomas_rietzschel,achgut,3
thomas_rietzschel,achgut,3
ulli_kulke,achgut,3
ulli_kulke,haolam_info,2
ulli_kulke,morgenpost,3
ulli_kulke,welt,3
ulli_kulke,welt,3
ulli_kulke,welt,3
vera_lengsfeld,achgut,3
vera_lengsfeld,achgut,3
vera_lengsfeld,achgut,3
vera_lengsfeld,achgut,3
vera_lengsfeld,achgut,3
vera_lengsfeld,achgut,3
vera_lengsfeld,amfedersee,3
vera_lengsfeld,astrologieklassisch_wordpress,1
vera_lengsfeld,dieunbestechlichen,3
vera_lengsfeld,epochtimes,3
vera_lengsfeld,epochtimes,3
vera_lengsfeld,epochtimes,3
